,price,powerPS,Age,kilometer,model
0,5000.0,158.0,17.25,150000.0,196.0
1,8500.0,286.0,24.5,150000.0,172.0
2,8990.0,102.0,12.58,70000.0,243.0
3,4350.0,71.0,14.5,70000.0,39.0
4,7900.0,150.0,15.33,150000.0,46.0
5,300.0,90.0,26.67,150000.0,243.0
6,1990.0,90.0,24.0,150000.0,243.0
7,590.0,90.0,24.58,150000.0,190.0
8,999.0,90.0,4.33,150000.0,128.0
9,5299.0,71.0,11.75,50000.0,39.0
10,1350.0,101.0,22.92,150000.0,57.0
11,3999.0,75.0,14.75,150000.0,203.0
12,18900.0,203.0,39.5,80000.0,128.0
13,350.0,101.0,22.42,150000.0,119.0
14,5500.0,205.0,31.5,150000.0,44.0
15,300.0,150.0,26.0,150000.0,55.0
16,4150.0,124.0,17.17,150000.0,196.0
17,3500.0,131.0,18.42,150000.0,56.0
18,41500.0,320.0,17.33,150000.0,238.0
19,25450.0,184.0,6.08,10000.0,58.0
20,7999.0,120.0,11.17,150000.0,128.0
21,48500.0,306.0,8.0,30000.0,101.0
22,777.0,54.0,29.17,125000.0,131.0
23,5250.0,110.0,14.58,150000.0,58.0
24,4999.0,204.0,17.83,150000.0,138.0
25,2850.0,218.0,19.58,150000.0,123.0
26,4800.0,140.0,15.67,150000.0,57.0
27,2600.0,193.0,21.5,150000.0,101.0
28,7500.0,131.0,14.92,150000.0,154.0
29,13800.0,140.0,9.17,90000.0,158.0
30,2850.0,75.0,19.17,125000.0,243.0
31,1450.0,122.0,22.5,150000.0,123.0
32,3500.0,150.0,22.08,150000.0,243.0
33,3200.0,131.0,18.58,150000.0,128.0
34,11900.0,60.0,7.58,20000.0,131.0
35,11500.0,86.0,10.75,60000.0,129.0
36,900.0,43.0,23.58,150000.0,204.0
37,1000.0,75.0,26.25,150000.0,196.0
38,3499.0,95.0,13.67,150000.0,144.0
39,1099.0,122.0,23.17,150000.0,123.0
40,56000.0,435.0,9.17,60000.0,116.0
41,5999.0,150.0,13.67,125000.0,137.0
42,6000.0,204.0,16.58,150000.0,78.0
43,9000.0,84.0,9.58,30000.0,235.0
44,2500.0,116.0,17.75,125000.0,160.0
45,650.0,58.0,24.58,125000.0,203.0
46,4100.0,140.0,14.17,150000.0,8.0
47,4200.0,75.0,17.92,125000.0,243.0
48,1199.0,90.0,25.0,150000.0,128.0
49,995.0,101.0,27.33,150000.0,219.0
50,6300.0,116.0,15.33,125000.0,243.0
51,13950.0,184.0,10.5,70000.0,58.0
52,250.0,65.0,4.75,125000.0,1.0
53,2250.0,80.0,16.33,150000.0,240.0
54,4800.0,121.0,29.42,150000.0,14.0
55,10990.0,174.0,4.0,100000.0,98.0
56,2500.0,75.0,12.42,90000.0,235.0
57,1750.0,131.0,22.33,150000.0,196.0
58,8100.0,179.0,13.42,150000.0,52.0
59,2700.0,57.0,35.67,125000.0,2.0
